tweet_id,source_row,annotation_category,tweet_text_raw,text_clean,word_count,count,hate_speech,offensive_language,neither,sentiment_negative,sentiment_neutral,sentiment_positive,sentiment_score,sentiment
T0001,4,Offensive language,!!!!!!!!!!!!! RT @ShenikaRoberts: The shit you hear about me might be true or it might be faker than the bitch who told it to ya ,rt the shit you hear about me might be true or it might be faker than the bitch who told it to ya,23,6,0,6,0,0.6913047,0.2502743,0.058421098,-0.6328836,Negative
T0002,9,Offensive language,""" @rhythmixx_ :hobbies include: fighting Mariam"" bitch",hobbies include fighting mariam bitch,5,3,1,2,0,0.5713117,0.39547157,0.033216722,-0.538095,Negative
T0003,30,Offensive language,""" i txt my old bitch my new bitch pussy wetter """,i txt my old bitch my new bitch pussy wetter,10,3,0,3,0,0.29862753,0.55542856,0.1459438,-0.15268372,Neutral
T0004,35,Offensive language,""" is that ya bitch """,is that ya bitch,4,3,0,3,0,0.82034314,0.16372803,0.015928885,-0.8044143,Negative
T0005,51,Offensive language,""" yall niggas b cuffing hoes cause yall aint never have bitches """,yall niggas b cuffing hoes cause yall aint never have bitches,11,3,0,3,0,0.72324294,0.25837433,0.018382652,-0.70486027,Negative
T0006,57,Offensive language,"""& he's gone always be a hoe""",he s gone always be a hoe,7,3,0,3,0,0.7532052,0.22937723,0.017417584,-0.7357876,Negative
T0007,102,Offensive language,"""@Coley_Cee: @lil_aerii girl you know I was spitting that G shit to you & you was going lbvs""bitch plz",girl you know i was spitting that g shit to you you was going lbvs bitch plz,17,3,0,3,0,0.7456572,0.23365521,0.020687515,-0.7249697,Negative
T0008,158,Offensive language,"""@KelsieBelsi: You're not a man if you refer to every girl as a bitch""",you re not a man if you refer to every girl as a bitch,14,3,0,3,0,0.87911755,0.11299981,0.007882632,-0.8712349,Negative
T0009,166,Neither,"""@KnightfanNeal #UCFPINKPARTY come on stay alive knights nation!!!!"" This is still the early bird special. #ComeAtMeUT",ucfpinkparty come on stay alive knights nation this is still the early bird special comeatmeut,15,3,0,0,3,0.007088285,0.14453562,0.8483761,0.8412878,Positive
T0010,191,Offensive language,"""@MegamindNick: @white_thunduh nah fam I gotta cheat with the hoes"" depends on the female i feel",nah fam i gotta cheat with the hoes depends on the female i feel,14,3,0,3,0,0.43207863,0.5461297,0.021791637,-0.410287,Neutral
T0011,193,Offensive language,"""@Migsmichelen: This new twitter is confusing the shit out of me."" Go back to south america bitch",this new twitter is confusing the shit out of me go back to south america bitch,16,3,1,2,0,0.93689483,0.05671937,0.0063858447,-0.930509,Negative
T0012,202,Offensive language,"""@NewsomeJade: I ain't never seen a bitch so obsessed with they nigga😂"" I'm obsessed with mine 😑",i ain t never seen a bitch so obsessed with they nigga i m obsessed with mine,17,3,1,2,0,0.686312,0.2572478,0.056440193,-0.62987185,Negative
T0013,227,Offensive language,"""@RishaaWilliams: @TRESHON_SCROOGE @_Nevertrustt ol bitch ass"" http://t.co/AmcOinY0wG",ol bitch ass,3,3,0,3,0,0.94067913,0.053807504,0.0055134166,-0.9351657,Negative
T0014,254,Offensive language,"""@ThatniggaTroy: Oomf so fuckin fine tho 😩 dam"" @ her, don't be no bitch.",oomf so fuckin fine tho dam her don t be no bitch,12,3,0,3,0,0.61506,0.22924525,0.1556948,-0.4593652,Negative
T0015,265,Offensive language,"""@Thornton25: “@KantKeepAhBYTCH: I love eating pussy lol I never get full lol” I can eat that shit forever lol"" and ever.",i love eating pussy lol i never get full lol i can eat that shit forever lol and ever,19,3,0,3,0,0.025979893,0.07391834,0.9001017,0.87412184,Positive
T0016,294,Offensive language,"""@_BeeDontCare My pussy still fresh"" <----- something stank girls say.",my pussy still fresh something stank girls say,8,3,0,3,0,0.64915174,0.31476218,0.036086105,-0.61306566,Negative
T0017,308,Offensive language,"""@airmaxlad1: Hot meat http://t.co/BRz8Imk5vK"" sexy as fuck scally lad. I would love to meet him and his trainers.",hot meat sexy as fuck scally lad i would love to meet him and his trainers,16,3,0,3,0,0.015059047,0.040960692,0.9439803,0.9289212,Positive
