tweet_id,source_row,count,hate_speech,offensive_language,neither,class,tweet_text
T0001,4,6,0,6,0,1,!!!!!!!!!!!!! RT @ShenikaRoberts: The shit you hear about me might be true or it might be faker than the bitch who told it to ya &#57361;
T0002,9,3,1,2,0,1,""" @rhythmixx_ :hobbies include: fighting Mariam""

bitch"
T0003,30,3,0,3,0,1,""" i txt my old bitch my new bitch pussy wetter """
T0004,35,3,0,3,0,1,""" is that ya bitch """
T0005,51,3,0,3,0,1,""" yall niggas b cuffing hoes cause yall aint never have bitches """
T0006,57,3,0,3,0,1,"""&amp; he's gone always be a hoe"""
T0007,102,3,0,3,0,1,"""@Coley_Cee: @lil_aerii girl you know I was spitting that G shit to you &amp; you was going lbvs""bitch plz"
T0008,158,3,0,3,0,1,"""@KelsieBelsi: You're not a man if you refer to every girl as a bitch"""
T0009,166,3,0,0,3,2,"""@KnightfanNeal #UCFPINKPARTY come on stay alive knights nation!!!!"" This is still the early bird special. #ComeAtMeUT"
T0010,191,3,0,3,0,1,"""@MegamindNick: @white_thunduh nah fam I gotta cheat with the hoes"" depends on the female i feel"
T0011,193,3,1,2,0,1,"""@Migsmichelen: This new twitter is confusing the shit out of me."" Go back to south america bitch"
T0012,202,3,1,2,0,1,"""@NewsomeJade: I ain't never seen a bitch so obsessed with they nigga&#128514;"" I'm obsessed with mine &#128529;"
T0013,227,3,0,3,0,1,"""@RishaaWilliams: @TRESHON_SCROOGE @_Nevertrustt ol bitch ass"" http://t.co/AmcOinY0wG"
T0014,254,3,0,3,0,1,"""@ThatniggaTroy: Oomf so fuckin fine tho &#128553; dam"" @ her, don't be no bitch."
T0015,265,3,0,3,0,1,"""@Thornton25: &#8220;@KantKeepAhBYTCH: I love eating pussy lol I never get full lol&#8221; I can eat that shit forever lol"" and ever."
T0016,294,3,0,3,0,1,"""@_BeeDontCare My pussy still fresh"" &lt;----- something stank girls say."
T0017,308,3,0,3,0,1,"""@airmaxlad1: Hot meat http://t.co/BRz8Imk5vK"" sexy as fuck scally lad. I would love to meet him and his trainers."
T0018,313,3,0,2,1,1,"""@altosteel115: http://t.co/tM28mh5XG2"" woof woof. Sexy thug boy scally."
T0019,324,3,0,3,0,1,"""@clayton_jenn99: I'm gonna miss that bitch of a bus driver...""no you won't. Don't lie"
T0020,354,3,2,1,0,0,"""@jayswaggkillah: Jackies a retard #blondeproblems"" At least I can make a grilled cheese!"
T0021,393,3,0,3,0,1,"""@savage_twotone: Next year bitches is gonna be like you gotta promise you won't expose me &#128514;&#128514;&#128557;"""
T0022,405,3,1,2,0,1,"""@talibanshawtyy: Niggas whole hoes out here cuz"" Couldn't had said it better..&#128588;"
T0023,417,3,0,3,0,1,"""@witmyRUDEass: When a bitch don't want a real job they just become strippers lol"" lol."
T0024,430,6,0,1,5,2,"""Bae"" sounds like such a ghetto word. Use something else"
T0025,448,3,1,2,0,1,"""Eff it. Let's go after the cripple."" http://t.co/kSaMx1JPfV"
T0026,539,3,0,3,0,1,"""Nah girl I ain't gon be able to make it, it's been tight since Russ loss his job"" you in the back like ""damn bitch really"""
T0027,540,3,2,1,0,0,"""Nah its You @NoMeek_JustMilz: &#128514;&#128514;&#128514;&#128514; yo i thought some1 photoshopped my face on that faggot smmfh...i hate yall"" http://t.co/5e2fkQ3Q2T"
T0028,549,3,3,0,0,0,"""Our people"". Now is the time for the Aryan race 2 stand up and say ""no more"". Before the mongerls turn the world into a ghetto slum. 1488"
T0029,606,3,0,3,0,1,"""Y'all forget he has his brand new baby girl at home"" bitch the cookies are burning"
T0030,609,3,0,3,0,1,"""Yo bitch on the horn. Tryna shoot a porn."" - @KingL That's T shirt worthy Tony"
T0031,610,3,0,3,0,1,"""Yo can I sublet your pussy"" #ShitFahdSays"
T0032,623,3,0,1,2,2,"""You look like little birds help you get dressed in the morning"""
T0033,626,3,0,3,0,1,"""You took our land so you could make each other retarded in DIAPERS? Sure....use our image....cool...."" #redskins #NFL #concussion #jokes"
T0034,657,3,2,1,0,0,"""poor whitey"" http://t.co/3UkKeyznz8"
T0035,702,6,1,5,0,1,#DearFeministMen there are easier way to get pussy w/out sacrificing your man hood...best of all they dont include losing ur self respect!
T0036,717,3,1,2,0,1,#Fact females that tweet ALL the dayum day r hoes that need attention #ijs #wontgetme
T0037,718,3,0,0,3,2,"#FemaleLogic is worse than the jig, I'm convinced"
T0038,720,3,1,2,0,1,#FreeElChapo is trending?! why cus French Montana's bitch ass?? you fucks that think selling drugs is cool are the LAMEST POSERS!!
T0039,732,6,0,6,0,1,#IDontHaveTimeFor Ratchet hoes.
T0040,796,3,0,1,2,2,#THEBOONDOCKS at 10:30 my nicca!
T0041,830,3,0,0,3,2,#Yankees I went to Golds with Cruz in 2010 when he was a Sound. No upper /lower body strength.. Hmm now 40 HR hitter. Won't say the S word.
T0042,834,3,0,0,3,2,"#Yankees Primo! Just got home and the Tanks are on MLB. Finally! And they are winning! Even better. Time to get serious, Sept call up time"
T0043,859,3,0,0,3,2,#inners Still hanging in. #Yankees we need this win. NFL. It's not SUNDAY!!
T0044,884,3,0,3,0,1,"#porn,#android,#iphone,#ipad,#sex,#xxx, | #Close Up | Another pussy close up http://t.co/hBjDGvENXa"
T0045,900,3,0,3,0,1,"#porn,#android,#iphone,#ipad,#sex,#xxx, | #Hairy | Hairy Florence shoves a dildo in her hairy red pussy http://t.co/4DM8Fpcb2d"
T0046,928,3,0,1,2,2,#redneck tow truck. #johndeere #4455 #america https://t.co/iFInqwVRad
T0047,930,3,0,1,2,2,#southcarolina has a highschool graduation rate near 50% and that's why they have so many uninformed #teabaggers #morningjoe
T0048,948,3,0,3,0,1,#xfactorau sick of guys who sing like pussies. Where are the rock type men?
T0049,950,3,0,3,0,1,$100 bid to go on a date with Zack Morris oh that dreamy son of a bitch
T0050,953,3,0,0,3,2,"&#127813;&#127813;&#127813; RT @GottliebShow: ""Killer line?"" @SBNationNBA: Josh Smith dropped a killer trash talk line on Kenneth http://t.co/C8d3sJoUpj&#8221;"
T0051,989,3,0,3,0,1,"&#128514; Gucci b having me on my rude shit&#8220;@AmazinNaNa: Lol that's not nice ""@SMCo71: "" that bitch aint worth a quarter """"&#8221;"
T0052,991,3,2,1,0,0,&#128514; RT @TheOnlyReed: LMFAO RT @Tone314: If you watching porn &amp; beating off &amp; yo homie text u &amp; it show his name in the banner you're a faggot
T0053,993,3,0,3,0,1,&#128514;&#128514; &#8220;@Juggs201: SOMEBODY GONNA DIE &#128557;&#128557;&#128557; RT @SMCo71: @Juggs201 &#128514; theres a bitch on NJT setting up a lean as we tweet&#8221;
T0054,1020,6,0,6,0,1,&#128514;&#128514;&#128514;&#128514;&#128514; brittany bitch u my dog man &#128514;&#128514;&#128514;&#9996;&#65039;&#9996;&#65039;&#128553;&#128553;&#128553;&#128553;&#128553;&#128553;&#128569;&#128569;&#128584;&#128584;&#128584;&#128584;
T0055,1055,3,0,3,0,1,&#128553;&#128553;&#128514;&#128557;&#128557; RT @Eb_Reloaded: @11wdNICK @KingHov1313 swear to God bitch I'm bouta delete my twitter account http://t.co/YPi52s4dtC
T0056,1152,3,0,2,1,1,&#8220;@BarryClerjuste: I cried like a bitch after my first breakup. Never loved again lol&#8221;
T0057,1171,3,0,3,0,1,"&#8220;@BlueEyeBeaner: Vienna sausage clit http://t.co/YY1Gj6oeds&#8221; 

I suck dat bitch. Don&#8217;t y&#8217;all eva believe a colored man don&#8217;t eat no pussay"
T0058,1181,3,0,3,0,1,"&#8220;@BroCulture: When life knocks you down, stand the fuck up and say ""You hit like a little bitch.""&#8221;"
T0059,1190,3,1,2,0,1,&#8220;@CakeMamaa: Y'all hoes messy on god !&#8221;nbs&#128064;
T0060,1230,3,2,1,0,0,"&#8220;@Crowdifornia: We agree... do you? http://t.co/4diz5NKYMN&#8221; FUCK YES, I DO! Send those illegal, wetbacks home!!!"
T0061,1266,3,1,2,0,1,&#8220;@EdgarGuillenjr: Lol good now I got them nasty rednecks off my back I can take care of business&#8221; @BlakeAnderson21 @Dalton_ryann he serious
T0062,1374,3,0,1,2,2,&#8220;@JukeJuke_9: Lance Stevenson gone leave Indiana&#8221; he trash anyway
T0063,1380,6,0,6,0,1,"&#8220;@KaayGQ: Sexy bitch, hope she bout it&#8221;"
T0064,1410,3,0,3,0,1,&#8220;@LeggsMania: the next time I see this bitch I'm beating her ass. job or not.&#8221; lol
